city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
Ithaca,NY,1,March,42.444,-76.5019,40,Ozone,Good,2,14
Kahului,HI,23,March,20.889,-156.4743,19,PM2.5,Good,1,16
Los Angeles,CA,13,March,34.0522,-118.2437,48,PM2.5,Good,3,6
Madison,WI,1,March,43.0731,-89.4012,39,PM2.5,Good,3,13
Miami,FL,25,March,25.7617,-80.1918,58,PM2.5,Moderate,3,12
Minneapolis,MN,-2,March,44.9778,-93.265,49,Ozone,Good,2,13
New York City,NY,7,March,40.7128,-74.006,50,Ozone,Good,2,13
Orlando,FL,22,March,28.5383,-81.3792,49,Ozone,Good,0,13
Philadelphia,PA,7,March,39.9526,-75.1652,50,PM2.5,Good,1,17
Phoenix,AZ,16,March,33.4484,-112.074,54,Ozone,Moderate,1,10
Portland,OR,7,March,45.5155,-122.6793,37,Ozone,Good,3,12
Raleigh,NC,13,March,35.7796,-78.6382,45,Ozone,Good,2,10
Richmond,VA,10,March,37.5407,-77.436,45,Ozone,Good,1,14
San Francisco,CA,10,March,37.7749,-122.4194,41,Ozone,Good,5,16
Seattle,WA,7,March,47.6062,-122.3321,47,Ozone,Good,2,9
State College,PA,4,March,40.7934,-77.86,42,Ozone,Good,2,12
"Washington, D.C.",DC,9,March,38.9072,-77.0369,47,Ozone,Good,1,16
Athens,GA,16,April,33.9519,-83.3576,58,Ozone,Moderate,5,8
Baltimore,MD,17,April,39.2904,-76.6122,59,Ozone,Good,3,16
Boston,MA,10,April,42.3601,-71.0589,52,Ozone,Good,2,17
Chapel Hill,NC,17,April,35.9132,-79.0558,50,Ozone,Good,6,11
Charlotte,NC,17,April,35.2271,-80.8431,54,Ozone,Good,5,11
Chicago,IL,11,April,41.8781,87.6298,57,Ozone,Moderate,1,16
Cleveland,OH,11,April,41.4993,-81.6944,57,Ozone,Good,2,17
Dallas,TX,18,April,32.7767,-96.797,52,Ozone,Moderate,1,14
Denver,CO,9,April,39.7392,-104.9903,76,Ozone,Moderate,1,14
Detroit,MI,9,April,42.3314,-83.0458,60,PM2.5,Moderate,2,16
Greensboro,NC,16,April,36.0726,-79.7915,53,Ozone,Good,6,12
Houston,TX,20,April,29.7604,-95.3698,69,Ozone,Moderate,5,18
Ithaca,NY,10,April,42.444,-76.5019,50,Ozone,Good,4,11
Kahului,HI,24,April,20.889,-156.4743,16,PM2.5,Good,1,18
Los Angeles,CA,16,April,34.0522,-118.2437,82,Ozone,Moderate,0,4
Madison,WI,9,April,43.0731,-89.4012,49,Ozone,Good,3,14
Miami,FL,26,April,25.7617,-80.1918,48,PM2.5,Good,8,13
Minneapolis,MN,7,April,44.9778,-93.265,51,Ozone,Good,3,16
New York City,NY,13,April,40.7128,-74.006,58,Ozone,Good,4,13
Orlando,FL,24,April,28.5383,-81.3792,45,Ozone,Good,2,13
Philadelphia,PA,14,April,39.9526,-75.1652,57,Ozone,Moderate,4,15
Phoenix,AZ,24,April,33.4484,-112.074,85,Ozone,Moderate,0,10
Portland,OR,11,April,45.5155,-122.6793,38,Ozone,Good,4,11
Raleigh,NC,17,April,35.7796,-78.6382,48,Ozone,Good,6,11
Richmond,VA,17,April,37.5407,-77.436,53,Ozone,Good,3,13
San Francisco,CA,13,April,37.7749,-122.4194,46,Ozone,Good,0,16
Seattle,WA,9,April,47.6062,-122.3321,44,Ozone,Good,3,10
State College,PA,12,April,40.7934,-77.86,57,Ozone,Good,5,9
"Washington, D.C.",DC,17,April,38.9072,-77.0369,60,Ozone,Good,3,14
Athens,GA,20,May,33.9519,-83.3576,54,Ozone,Good,2,9
Baltimore,MD,19,May,39.2904,-76.6122,55,Ozone,Moderate,0,14
Boston,MA,16,May,42.3601,-71.0589,50,Ozone,Good,1,18
Chapel Hill,NC,19,May,35.9132,-79.0558,43,Ozone,Good,1,12
Charlotte,NC,20,May,35.2271,-80.8431,50,Ozone,Good,2,12
Chicago,IL,17,May,41.8781,87.6298,79,Ozone,Moderate,0,14
Cleveland,OH,14,May,41.4993,-81.6944,62,Ozone,Moderate,2,14
Dallas,TX,24,May,32.7767,-96.797,82,Ozone,Moderate,1,11
Denver,CO,15,May,39.7392,-104.9903,85,Ozone,Moderate,4,12
Detroit,MI,15,May,42.3314,-83.0458,63,Ozone,Moderate,0,14
Greensboro,NC,18,May,36.0726,-79.7915,47,Ozone,Good,2,13
Houston,TX,25,May,29.7604,-95.3698,94,Ozone,Moderate,5,14
Ithaca,NY,13,May,42.444,-76.5019,47,Ozone,Good,0,10
Kahului,HI,25,May,20.889,-156.4743,19,PM2.5,Good,0,22
Los Angeles,CA,17,May,34.0522,-118.2437,67,Ozone,Good,0,4
Madison,WI,16,May,43.0731,-89.4012,68,Ozone,Moderate,1,10
Miami,FL,27,May,25.7617,-80.1918,56,Ozone,Moderate,4,11
Minneapolis,MN,18,May,44.9778,-93.265,73,Ozone,Good,1,12
New York City,NY,17,May,40.7128,-74.006,58,Ozone,Moderate,1,10
Orlando,FL,25,May,28.5383,-81.3792,59,Ozone,Good,3,11
Philadelphia,PA,17,May,39.9526,-75.1652,61,Ozone,Moderate,0,13
Phoenix,AZ,29,May,33.4484,-112.074,94,Ozone,Moderate,0,12
Portland,OR,17,May,45.5155,-122.6793,45,Ozone,Good,0,9
Raleigh,NC,19,May,35.7796,-78.6382,48,Ozone,Good,1,12
Richmond,VA,18,May,37.5407,-77.436,47,Ozone,Good,3,12
