Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-02-23,27,Ozone,27.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.8,6.3,9.4
2023-02-24,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-4.7,1.9,22.4
2023-02-25,32,Ozone,32.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-6.4,2.4,7.8
2023-02-26,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.7,0.0,18.6
2023-02-27,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.6,6.6,15.5
2023-02-28,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.1,9.5,18.6
2023-03-01,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.3,2.1,13.7
2023-03-02,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.1,0.3,15.0
2023-03-03,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.0,2.8,11.9
2023-03-04,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.5,7.6,15.1
2023-03-05,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.2,0.0,10.2
2023-03-06,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.1,0.0,11.0
2023-03-07,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.6,0.0,22.0
2023-03-08,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-2.9,0.0,17.8
2023-03-09,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-3.1,0.0,11.2
2023-03-10,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.8,6.0,9.3
2023-03-11,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-3.0,3.9,15.4
2023-03-12,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.5,0.0,8.2
2023-03-13,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.9,4.7,10.9
2023-03-14,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-3.2,15.2,30.2
2023-03-15,45,Ozone,45.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-2.8,2.4,26.8
2023-03-16,50,Ozone,50.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.4,0.0,4.6
2023-03-17,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.5,12.9,16.4
2023-03-18,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.9,0.9,18.1
2023-03-19,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-3.9,0.1,24.8
2023-03-20,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.2,0.0,13.7
2023-03-21,47,Ozone,47.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.8,0.0,10.3
2023-03-22,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,7.7,0.0,12.8
2023-03-23,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.2,10.3,14.5
2023-03-24,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.6,0.0,11.4
2023-03-25,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.6,8.2,21.8
2023-03-26,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,6.6,1.5,19.3
2023-03-27,45,Ozone,45.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.6,5.2,7.1
2023-03-28,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.9,0.0,11.4
2023-03-29,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.3,1.9,15.9
2023-03-30,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-2.8,0.0,16.7
2023-03-31,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.6,4.8,16.2
2023-04-02,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.3,0.9,20.3
2023-04-03,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,7.3,2.0,17.9
2023-04-04,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.4,10.4,5.5
2023-04-05,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.2,16.9,17.2
2023-04-06,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,12.4,3.0,12.3
2023-04-07,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.0,0.0,16.2
2023-04-08,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.6,0.0,9.5
2023-04-09,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.1,0.0,8.2
2023-04-10,58,Ozone,58.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,8.0,0.0,8.1
2023-04-11,64,Ozone,64.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,12.7,0.0,16.2
2023-04-12,67,Ozone,67.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,18.2,0.0,16.3
2023-04-13,74,Ozone,74.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,20.7,0.0,9.1
2023-04-14,100,Ozone,100.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,19.8,0.0,7.0
2023-04-15,74,Ozone,74.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,19.4,0.9,12.3
2023-04-16,49,Ozone,49.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.9,0.0,13.1
2023-04-17,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.8,16.5,14.2
2023-04-18,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.7,1.3,14.6
2023-04-19,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.8,0.0,14.8
2023-04-20,51,Ozone,51.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,9.1,0.0,3.6
2023-04-21,90,Ozone,90.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,19.9,0.0,12.7
2023-04-22,49,Ozone,49.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.8,9.2,18.3
2023-04-23,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,6.8,3.7,8.3
2023-04-24,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,4.2,2.2,8.8
2023-04-25,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,4.5,1.2,3.3
2023-04-26,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,6.5,3.4,9.9
2023-04-27,47,Ozone,47.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,8.9,0.0,4.4
2023-04-28,47,Ozone,47.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,10.3,3.1,15.5
2023-04-29,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,8.7,9.8,15.4
2023-04-30,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,10.6,39.8,14.5
2023-05-01,32,Ozone,32.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,7.4,5.3,17.6
2023-05-02,28,Ozone,28.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,6.2,4.1,10.4
2023-05-03,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.0,7.9,9.1
2023-05-04,30,Ozone,30.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,7.2,0.4,8.4
2023-05-05,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.1,0.0,8.9
2023-05-06,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,10.5,0.0,8.2
2023-05-07,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,13.4,5.1,9.8
2023-05-08,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,12.3,0.4,12.5
2023-05-09,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.5,0.0,11.9
2023-05-10,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,11.2,0.0,9.7
2023-05-11,51,Ozone,51.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,15.1,0.0,8.6
2023-05-12,84,Ozone,84.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,18.2,0.0,7.9
2023-05-13,47,Ozone,47.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.2,0.0,9.8
2023-05-14,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.7,0.0,14.3
2023-05-15,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,11.6,0.0,9.3
2023-05-16,49,Ozone,49.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.4,0.0,13.0
2023-05-17,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.2,0.0,15.9
2023-05-18,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,8.8,0.0,11.5
2023-05-19,48,Ozone,48.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,15.8,0.0,22.2
